18:05:32 - Starting servent [a58bd6099ad4703bde902afa7895758e26a86abe|localhost|1300]
18:05:32 - Pausing for 35000 ms
18:05:34 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|0||PING|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:34 - Got message [8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23|1100|1||PONG|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:35 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|0||PING|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:36 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|1||TOKEN_REQUEST|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:37 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|2||PONG|1600|515cc631d7525dab62063caed438af1023643d89]
18:05:37 - Got message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|1||TOKEN_REQUEST|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:38 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|1||TOKEN_REQUEST|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:44 - Got message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|7||TOKEN|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:46 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|3||NEW_NODE|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:52 - Got message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|19|localhost:1400,localhost:1100,localhost:1200|UPDATE|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:53 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|5|99a4bff2ffcefb621ffbb9bca2ef7b106f2003d1|REQUEST_FILES|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:05:54 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|9||TOKEN|1600|515cc631d7525dab62063caed438af1023643d89]
18:05:55 - Got message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|23||BACKUP|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:56 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|2||NEW_NODE|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:57 - Sending message [515cc631d7525dab62063caed438af1023643d89|1600|13||NEW_NODE|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:06:01 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|33|localhost:1400,localhost:1100,localhost:1200|UPDATE|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:06:01 - File test123455.txt deleted
18:06:02 - Sending message [515cc631d7525dab62063caed438af1023643d89|1600|21|localhost:1400,localhost:1100,localhost:1200,localhost:1300|UPDATE|1600|515cc631d7525dab62063caed438af1023643d89]
18:06:04 - Got message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|39|[515cc631d7525dab62063caed438af1023643d89|localhost|1600]|NODE_CHECK|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:06:05 - Got message [8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23|1100|44|[515cc631d7525dab62063caed438af1023643d89|localhost|1600]|NODE_CHECK|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:06:06 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|7||BACKUP|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:06:06 - Got message [99a4bff2ffcefb621ffbb9bca2ef7b106f2003d1|1200|42|[515cc631d7525dab62063caed438af1023643d89|localhost|1600]|NODE_CHECK|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:06:07 - Stopping...
18:06:08 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|32||TOKEN_REQUEST|1600|515cc631d7525dab62063caed438af1023643d89]
18:06:09 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|33||TOKEN_REQUEST|1200|99a4bff2ffcefb621ffbb9bca2ef7b106f2003d1]
18:06:09 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|31||TOKEN_REQUEST|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:06:09 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|30||TOKEN_REQUEST|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:06:09 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|16||TOKEN|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:06:11 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|38||STOPPED|1600|515cc631d7525dab62063caed438af1023643d89]
18:06:16 - Got message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|60||STOPPED|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:06:18 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|52||TOKEN|1600|515cc631d7525dab62063caed438af1023643d89]
