18:05:33 - Starting servent [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|localhost|1400]
18:05:34 - Pausing for 20000 ms
18:05:35 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|0||PING|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:36 - Got message [8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23|1100|3||PONG|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:05:37 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|1||TOKEN_REQUEST|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:37 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|2||TOKEN_REQUEST|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:37 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|3||TOKEN_REQUEST|1200|99a4bff2ffcefb621ffbb9bca2ef7b106f2003d1]
18:05:39 - Got message [99a4bff2ffcefb621ffbb9bca2ef7b106f2003d1|1200|5||TOKEN|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:05:40 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|4||NEW_NODE|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:42 - Got message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|8|localhost:1100,localhost:1200|UPDATE|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:05:43 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|6|99a4bff2ffcefb621ffbb9bca2ef7b106f2003d1|REQUEST_FILES|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:44 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|7||TOKEN|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:44 - Got message [8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23|1100|14||FILE|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:05:45 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|12||BACKUP|1200|99a4bff2ffcefb621ffbb9bca2ef7b106f2003d1]
18:05:45 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|11||BACKUP|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:48 - Got message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|15||NEW_NODE|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:05:49 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|15|localhost:1400|UPDATE|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:53 - Got message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|5|99a4bff2ffcefb621ffbb9bca2ef7b106f2003d1|REQUEST_FILES|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:05:54 - Pausing for 10000 ms
18:05:54 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|22||REMOVE_FROM_BACKUP|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:05:55 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|23||BACKUP|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:05:57 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|13||NEW_NODE|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:05:58 - Sending message [515cc631d7525dab62063caed438af1023643d89|1600|30|localhost:1400|UPDATE|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:06:03 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|4|a58bd6099ad4703bde902afa7895758e26a86abe|REQUEST_FILES|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:06:03 - File C:\Users\KORISNIK\Desktop\faks\kids_storage\storage3\test123455.txt deleted
18:06:04 - Pausing for 1000000 ms
18:06:04 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|39|[515cc631d7525dab62063caed438af1023643d89|localhost|1600]|NODE_CHECK|1300|a58bd6099ad4703bde902afa7895758e26a86abe]
18:06:05 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|41||FILE|1600|515cc631d7525dab62063caed438af1023643d89]
18:06:05 - Sending message [67e6399480f3ea3a5f5ba2dba3361cc17e1cb339|1400|40||REMOVE_FROM_BACKUP|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
18:06:05 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|6||BACKUP|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:06:09 - Got message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|30||TOKEN_REQUEST|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:06:11 - Got message [515cc631d7525dab62063caed438af1023643d89|1600|24||BACKUP|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:06:12 - Got message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|22||STOPPED|1400|67e6399480f3ea3a5f5ba2dba3361cc17e1cb339]
18:06:14 - Sending message [a58bd6099ad4703bde902afa7895758e26a86abe|1300|59||STOPPED|1100|8cf1edb2e2c86f6d2501bbd5f88d46dd079d0e23]
